Variety,Quantity,Usage,Period
Rath Kesel,2028,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Kolikuttu,1512,Textile industry- make banana fibers,November-January
Kandula,4025,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Anamalu,4905,Make organic fertilizers,November-January
Sini Kesel,1292,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Anamalu,987,Banana chips ( both sweetened and unsweetened),January-December
Rath Kesel,356,Give CBL to make Waffers Biscuits,January-December
Puwalu,1261,Make high quality acid free paper from banana stems and leaves,November-January
Ambul Kesel,4988,Give CBL to make Waffers Biscuits,January-December
Ambul Nadee,145,Make tea bags and filters,January-December
Rath Kesel,142,Banana chocolates and sweets,November-January
Sini Kesel,2532,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Rath Kesel,761,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Suwandal,4437,Make banana oils are used in cosmatic industry,November-January
Puwalu,4601,cosmetic industry- Make haircare treatments with banana extracts,January-December
Rath Kesel,4993,Make high quality acid free paper from banana stems and leaves,November-January
Sini Kesel,3148,Make breakfast cereals,November-January
Sini Kesel,4475,Bakery industry- Banana breads and banana cakes,January-December
Ambum,4573,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Puwalu,597,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Puwalu,3712,Make organic fertilizers,November-January
Ambum,1615,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Seeni Parakum,2219,Make single use plastic alternatives,January-December
Suwandal,663,Banana candies,November-January
Anamalu,3245,make dried and powdered banana peels to use as a supplement in animal feed.,November-January
Ambul Kesel,968,Make banana oils are used in cosmatic industry,November-January
Sini Kesel,1710,make banana silk which is eco friendly and biodegradable,November-January
Rath Kesel,1312,Make high quality acid free paper from banana stems and leaves,November-January
Green Banana,1413,Make jam and sugary products to the local market,January-December
Green Banana,792,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Seeni Parakum,902,Give CBL to make Waffers Biscuits,November-January
Kolikuttu,339,Banana chips ( both sweetened and unsweetened),November-January
Ambul Kesel,2627,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,1670,Export to USA as fresh banana,January-December
Ambul Nadee,3314,Make breakfast cereals,January-December
Kandula,3138,"Traditional alcoholic beverages- Banana liqueurs, wine",January-December
Suwandal,4463,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambul Nadee,4044,Bakery industry- Banana breads and banana cakes,November-January
Ambul Nadee,3686,Bakery industry- Banana breads and banana cakes,November-January
Ambul Kesel,4689,Give CBL to make Waffers Biscuits,January-December
Kandula,3447,Make single use plastic alternatives,January-December
Ambul Kesel,440,make dried and powdered banana peels to use as a supplement in animal feed.,January-December
Ambum,484,Textile industry- make banana fibers,January-December
Kolikuttu,511,Banana chocolates and sweets,January-December
Nethra Palam,4882,Make high quality acid free paper from banana stems and leaves,January-December
Suwandal,146,Export to USA as fresh banana,November-January
Sini Kesel,1919,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Sini Kesel,402,Banana flavored craft beers,January-December
Ambul Nadee,4163,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Green Banana,728,Textile industry- make banana fibers,January-December
Rath Kesel,187,Food industry-desserts varieties,November-January
Kolikuttu,4457,cosmetic industry- Make haircare treatments with banana extracts,November-January
Sini Kesel,1301,Make organic fertilizers,January-December
Green Banana,3643,Make innorganic fertilizers,November-January
Ambul Kesel,3877,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kandula,344,Banana chips ( both sweetened and unsweetened),January-December
Anamalu,2710,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Ambum,4291,Make natural remedies,January-December
Puwalu,648,Banana flavored craft beers,January-December
Puwalu,2753,Make bioplastics,November-January
Kolikuttu,4654,Make organic fertilizers,November-January
Kandula,2029,Make organic fertilizers,November-January
Puwalu,3809,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Rath Kesel,3203,Make bioplastics,November-January
Anamalu,3837,Food industry-desserts varieties,January-December
Sini Kesel,4646,Brewing and distilling industry- Make banana beer,November-January
Nethra Palam,280,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Puwalu,3550,Make natural remedies,November-January
Seeni Parakum,2275,Make high quality acid free paper from banana stems and leaves,November-January
Suwandal,753,Banana flavored craft beers,January-December
Rath Kesel,4413,Make tea bags and filters,January-December
Kolikuttu,233,Make natural remedies,November-January
Ambul Nadee,1998,cosmetic industry- Make haircare treatments with banana extracts,November-January
Nethra Palam,2458,"Beverage industry - To make milkshakes,smoothies, fruit juices",November-January
Ambul Nadee,90,Make jam and sugary products to the local market,November-January
Nethra Palam,2102,Make innorganic fertilizers,November-January
Ambul Nadee,3246,Textile industry- make banana fibers,November-January
Kandula,4421,Make innorganic fertilizers,January-December
Green Banana,2680,Bakery industry- Banana breads and banana cakes,January-December
Kandula,2158,"Skincare industry- Make skincare products ( Lotions, creams and face masks",January-December
Sini Kesel,567,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Sini Kesel,4728,Textile industry- make banana fibers,November-January
Nethra Palam,3169,Make banana oils are used in cosmatic industry,January-December
Kandula,2765,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",November-January
Anamalu,1945,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Ambul Kesel,3420,dehydrated banana chips,November-January
Seeni Parakum,697,Make tea bags and filters,November-January
Ambul Kesel,2342,Bakery industry- Banana breads and banana cakes,January-December
Ambum,4239,Textile industry- make banana fibers,November-January
Sini Kesel,4048,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Kolikuttu,1477,"Pharmaceutical industry- Make antioxidants,vitamins by exploring bioactive compound ",January-December
Rath Kesel,4256,Make bioplastics,November-January
Suwandal,653,Textile industry- make banana fibers,November-January
Sini Kesel,4197,Make banana oils are used in cosmatic industry,January-December
Anamalu,4212,Make banana oils are used in cosmatic industry,January-December
Suwandal,394,Make jam and sugary products to the local market,January-December
Puwalu,2967,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,January-December
Seeni Parakum,4262,Brewing and distilling industry- Make banana beer,January-December
Ambum,3859,"Beverage industry - To make milkshakes,smoothies, fruit juices",January-December
Seeni Parakum,370,Banana chocolates and sweets,November-January
Ambul Nadee,4812,"Skincare industry- Make skincare products ( Lotions, creams and face masks",November-January
Green Banana,4101,Make high quality acid free paper from banana stems and leaves,November-January
Nethra Palam,4577,Make bioplastics,November-January
Ambul Kesel,219,Banana flavored craft beers,January-December
Ambul Kesel,2154,Make tea bags and filters,November-January
Nethra Palam,1323,Banana candies,January-December
Sini Kesel,721,Make innorganic fertilizers,November-January
Sini Kesel,4784,Banana flavored craft beers,November-January
Seeni Parakum,4817,Food industry-desserts varieties,November-January
Green Banana,4123,cosmetic industry- Make haircare treatments with banana extracts,January-December
Ambum,1580,Make tea bags and filters,November-January
Ambul Nadee,4704,Give CBL to make Waffers Biscuits,November-January
Kandula,2566,"Traditional alcoholic beverages- Banana liqueurs, wine",November-January
Ambul Kesel,708,dehydrated banana chips,November-January
Seeni Parakum,446,Bakery industry- Banana breads and banana cakes,January-December
Sini Kesel,2444,Textile industry- make banana fibers,January-December
Seeni Parakum,478,Make natural remedies,November-January
Green Banana,1348,Make flavors- Banana flavorings and extracts to make flavored syrups and drinks,November-January
Green Banana,3725,Make jam and sugary products to the local market,January-December
Ambum,423,cosmetic industry- Make haircare treatments with banana extracts,January-December
Puwalu,954,Make innorganic fertilizers,January-December
Ambul Kesel,4637,dehydrated banana chips,January-December
